,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
232,695.236846,57.120644,-4.823828,-0.026889,0.255570,-23.213083,1.444800,6.443911,13.770572
233,698.226677,57.135434,-4.898312,-0.024446,0.328715,-22.886851,1.337716,0.017197,13.821199
234,701.216871,57.153747,-4.964222,-0.021108,0.396296,-22.885982,1.264741,-5.353993,13.871718
235,704.208502,57.175340,-5.019668,-0.017337,0.460075,-23.155977,1.061482,4.717747,13.922147
236,707.202195,57.199859,-5.063953,-0.013364,0.513539,-22.918354,0.586537,14.120775,13.972515
237,710.197903,57.226449,-5.096276,-0.008992,0.543059,-22.207659,1.648871,-7.350868,14.022844
238,713.195365,57.255851,-5.115662,-0.004539,0.625998,-22.577412,1.419335,-17.068674,14.073145
239,716.194304,57.289115,-5.122985,-0.000680,0.697353,-23.435507,1.222340,-26.563380,14.123418
240,719.194429,57.325697,-5.120524,0.002192,0.758770,-24.770205,1.084305,-33.831688,14.173664
241,722.195448,57.365168,-5.111638,0.003734,0.813222,-26.469154,10.284260,-23.199511,14.223881
242,725.197062,57.418928,-5.100198,0.004050,1.329323,-27.633390,9.602440,-12.675921,14.274065
243,728.198973,57.497631,-5.088995,0.003653,1.810681,-28.268818,9.305113,-18.143875,14.324194
244,731.200892,57.599911,-5.079685,0.002704,2.276406,-29.176926,8.028277,-7.851116,14.374244
245,734.202537,57.723631,-5.073804,0.001355,2.677413,-29.569084,6.357419,2.336595,14.424194
246,737.203637,57.864934,-5.071792,0.000097,2.994193,-29.452656,4.294245,12.420457,14.474022
247,740.203943,58.019022,-5.072712,-0.000604,3.207581,-28.835463,1.849634,22.400054,14.523713
248,743.203225,58.180209,-5.074300,-0.000294,3.299219,-27.725673,-0.956375,32.264485,14.573258
249,746.201276,58.342001,-5.073027,0.001449,3.251981,-26.132025,-4.093978,41.975042,14.622651
250,749.197929,58.497197,-5.064230,0.004987,3.050351,-24.064744,-7.521343,51.505703,14.671901
251,752.193174,58.637986,-5.042354,0.010579,2.680821,-21.534224,-11.189941,60.835285,14.721032
252,755.187255,58.756012,-5.001138,0.018458,2.131993,-18.550460,3.963296,-14.678727,14.770078
253,758.180515,58.865229,-4.935207,0.027191,2.326179,-19.269661,4.395404,-32.898415,14.819075
254,761.173266,58.984377,-4.845376,0.034859,2.541362,-20.880249,0.544842,-34.640189,14.868031
255,764.165789,59.109350,-4.735386,0.041067,2.568015,-22.574806,-5.624510,-26.239043,14.916950
256,767.158333,59.228170,-4.609275,0.045965,2.293051,-23.857548,-10.782371,-18.051021,14.965837
257,770.151122,59.327355,-4.470289,0.049889,1.766124,-24.739689,7.726883,-10.087848,15.014706
258,773.144352,59.422888,-4.320739,0.053161,2.143720,-25.232661,4.167418,-25.951860,15.063574
259,776.138195,59.532605,-4.162456,0.055641,2.347341,-26.500674,18.719196,-18.467604,15.112434
260,779.132805,59.669568,-3.998159,0.057186,3.261550,-27.402595,14.101799,-11.225834,15.161272
261,782.128315,59.845463,-3.830068,0.058130,3.949501,-27.950243,9.272903,-4.222773,15.210057
262,785.124843,60.048815,-3.659449,0.058796,4.401123,-28.155906,4.229683,2.546111,15.258760
263,788.122494,60.267727,-3.486667,0.059484,4.606706,-28.032153,-0.733990,6.803338,15.307365
264,791.121360,60.490287,-3.311286,0.060427,4.571108,-27.702194,-6.147339,13.100117,15.355865
265,794.121525,60.704318,-3.132245,0.061852,4.273593,-27.068182,-11.738713,19.161821,15.404262
266,797.123018,60.897060,-2.947652,0.064100,3.706550,-26.142563,-4.420629,24.983713,15.452567
267,800.125495,61.070679,-2.754470,0.067598,3.493351,-24.937642,-4.804481,-2.599445,15.500796
268,803.128207,61.233363,-2.549036,0.072095,3.261944,-25.062844,7.976675,2.701361,15.548960
269,806.130381,61.399546,-2.329142,0.077242,3.645745,-24.932867,3.661792,7.768306,15.597076
270,809.131367,61.579029,-2.092416,0.083273,3.821768,-24.559442,7.654917,12.598965,15.645146
