y,x
-20082.07352,2948.827072
-20181.800734,2956.207883
-20281.527948,2963.588694
-20381.255162,2970.969504
-20480.982376,2978.350315
-20580.70959,2985.731126
-20680.436804,2993.111936
-20780.041391,3001.995319
-20879.645978,3010.878701
-20979.250566,3019.762084
-21078.855153,3028.645466
-21178.45974,3037.528848
-21278.064327,3046.412231
-21377.668915,3055.295613
-21477.273502,3064.178995
-21576.878089,3073.062378
-21676.482676,3081.94576
-21776.087264,3090.829142
-21875.691851,3099.712525
-21975.296438,3108.595907
-22074.901025,3117.47929
-22174.505613,3126.362672
-22274.1102,3135.246054
-22373.714787,3144.129437
-22473.319374,3153.012819
-22572.923962,3161.896201
-22672.528549,3170.779584
-22772.133136,3179.662966
-22871.737723,3188.546349
-22971.342311,3197.429731
-23070.946898,3206.313113
-23170.551485,3215.196496
-23270.156072,3224.079878
-23369.760659,3232.96326
-23469.365247,3241.846643
-23568.969834,3250.730025
-23668.574421,3259.613407
-23768.179008,3268.49679
-23867.783596,3277.380172
-23967.388183,3286.263555
-24066.99277,3295.146937
-24166.597357,3304.030319
-24266.201945,3312.913702
-24365.806532,3321.797084
-24465.411119,3330.680466
-24565.015706,3339.563849
-24664.620294,3348.447231
-24764.224881,3357.330614
-24863.829468,3366.213996
-24963.434055,3375.097378
-25063.038643,3383.980761
-25162.64323,3392.864143
-25262.188073,3402.393567
-25361.732915,3411.922992
-25461.277758,3421.452416
-25560.8226,3430.98184
-25660.367443,3440.511265
-25759.912286,3450.040689
-25859.457128,3459.570114
-25959.001971,3469.099538
-26058.546813,3478.628962
-26158.091656,3488.158387
-26257.636499,3497.687811
-26357.181341,3507.217235
-26456.726184,3516.74666
-26556.271027,3526.276084
-26655.815869,3535.805508
-26755.360712,3545.334933
-26854.905554,3554.864357
-26954.450397,3564.393782
-27053.99524,3573.923206
-27153.540082,3583.45263
-27253.084925,3592.982055
-27352.629768,3602.511479
-27452.17461,3612.040903
-27551.719453,3621.570328
-27651.264295,3631.099752
-27750.809138,3640.629176
-27850.353981,3650.158601
-27949.898823,3659.688025
-28049.443666,3669.21745
-28148.988509,3678.746874
-28248.533351,3688.276298
-28348.078194,3697.805723
-28447.623036,3707.335147
-28546.969247,3718.751196
-28646.315458,3730.167245
-28745.661668,3741.583294
-28845.007879,3752.999343
-28944.35409,3764.415392
-29043.7003,3775.831441
-29143.046511,3787.24749
-29242.392721,3798.663538
-29341.738932,3810.079587
-29441.085143,3821.495636
-29540.431353,3832.911685
-29639.777564,3844.327734
-29739.123775,3855.743783
-29838.469985,3867.159832
-29937.816196,3878.575881
-30037.162406,3889.99193
-30136.508617,3901.407979
-30235.854828,3912.824028
-30335.201038,3924.240077
